iter	Passed	Remaining
628	28459	16786
629	28506	16741
630	28552	16697
631	28598	16652
632	28647	16609
633	28694	16565
634	28750	16525
635	28800	16483
636	28850	16440
637	28912	16404
638	28978	16371
639	29023	16325
640	29077	16285
641	29116	16236
642	29169	16195
643	29215	16150
644	29264	16106
645	29311	16062
646	29354	16015
647	29406	15973
648	29446	15925
649	29504	15887
650	29551	15842
651	29606	15802
652	29671	15767
653	29728	15727
654	29781	15686
655	29826	15640
656	29887	15603
657	29940	15561
658	29998	15522
659	30054	15482
660	30219	15498
661	30351	15496
662	30434	15469
663	30514	15441
664	30585	15407
665	30656	15374
666	30719	15336
667	30802	15309
668	30871	15274
669	30923	15231
670	31000	15199
671	31054	15157
672	31118	15119
673	31188	15085
674	31252	15047
675	31316	15009
676	31379	14971
677	31447	14935
678	31512	14897
679	31563	14853
680	31618	14810
681	31668	14766
682	31716	14720
683	31770	14677
684	31819	14632
685	31869	14587
686	31914	14540
687	31973	14499
688	32034	14459
689	32090	14417
690	32142	14373
691	32207	14335
692	32272	14296
693	32343	14260
694	32414	14225
695	32487	14190
696	32575	14161
697	32645	14124
698	32716	14088
699	32789	14052
700	32840	14007
701	32901	13966
702	32970	13929
703	33037	13890
704	33102	13851
705	33164	13810
706	33218	13766
707	33287	13728
708	33343	13685
709	33393	13639
710	33439	13592
711	33492	13547
712	33543	13501
713	33607	13461
714	33669	13420
715	33725	13377
716	33792	13337
717	33837	13289
718	33904	13250
719	33954	13204
720	34023	13165
721	34073	13119
722	34130	13076
723	34186	13032
724	34230	12983
725	34268	12933
726	34320	12887
727	34370	12841
728	34437	12801
729	34505	12762
730	34569	12721
731	34642	12683
732	34708	12642
733	34769	12600
734	34833	12558
735	34883	12512
736	34935	12466
737	35004	12426
738	35066	12384
739	35125	12341
740	35185	12298
741	35227	12249
742	35281	12203
743	35323	12154
744	35365	12104
745	35415	12058
746	35481	12017
747	35534	11971
748	35608	11932
749	35667	11889
750	35722	11843
751	35774	11797
752	35817	11748
753	35869	11702
754	35929	11659
755	35982	11613
756	36035	11567
757	36085	11520
758	36135	11473
759	36184	11426
760	36241	11381
761	36293	11335
762	36352	11291
763	36410	11247
764	36477	11205
765	36544	11163
766	36608	11121
767	36663	11075
768	36730	11033
769	36825	10999
770	37014	10993
771	37111	10960
772	37169	10915
773	37224	10869
774	37276	10822
775	37329	10775
776	37382	10728
777	37471	10692
778	37538	10649
779	37614	10609
